source,target,title,conference,year1,year2
362,162,A Data-Driven Approach to Hue-Preserving Color-Blending,Vis,2012,2012
843,233,A Novel Approach to Visualizing Dark Matter Simulations,Vis,2012,2012
1205,1141,A Perceptual-Statistics Shading Model,Vis,2012,2012
1205,989,A Perceptual-Statistics Shading Model,Vis,2012,2012
1141,989,A Perceptual-Statistics Shading Model,Vis,2012,2012
667,1115,A Visual Analysis Concept for the Validation of Geoscientific Simulation Models,Vis,2012,2012
1082,328,An Adaptive Prediction-Based Approach to Lossless Compression of Floating-Point Volume Data,Vis,2012,2012
401,969,Augmented Topological Descriptors of Pore Networks for Material Science,Vis,2012,2012
1044,1206,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
1044,336,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
1044,961,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
1044,322,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
1044,261,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
1044,315,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
1206,336,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
1206,961,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
1206,322,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
1206,261,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
1206,315,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
336,961,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
336,322,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
336,261,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
336,315,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
961,322,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
961,261,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
961,315,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
322,261,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
322,315,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
261,315,Automatic Detection and Visualization of Qualitative Hemodynamic Characteristics in Cerebral Aneurysms,Vis,2012,2012
411,1012,Automatic Tuning of Spatially Varying Transfer Functions for Blood Vessel Visualization,Vis,2012,2012
686,599,Coherency-Based Curve Compression for High-Order finite Element Model Visualization,Vis,2012,2012
804,1,Computing Morse-Smale Complexes with Accurate Geometry,Vis,2012,2012
804,1177,Computing Morse-Smale Complexes with Accurate Geometry,Vis,2012,2012
1,1177,Computing Morse-Smale Complexes with Accurate Geometry,Vis,2012,2012
1192,323,Cumulative Heat Diffusion Using Volume Gradient Operator for Volume Analysis,Vis,2012,2012
105,732,Derived Metric Tensors for Flow Surface Visualization,Vis,2012,2012
77,244,Effects of Stereo and Screen Size on the Legibility of Three-Dimensional Streamtube Visualization,Vis,2012,2012
926,765,Efficient Structure-Aware Selection Techniques for 3D Point Cloud Visualizations with 2DOF Input,Vis,2012,2012
